Coefficient,MAE,ExpVar
0.42225470140114746,5.830263694172627,0.9136499284838397
0.6521830120325961,5.830263694172627,0.9136499284838397
0.9635250788060538,5.830263694172627,0.9136499284838397
0.1821693145947708,5.830263694172627,0.9136499284838397
0.9347517860369071,5.830263694172627,0.9136499284838397
0.7966721714713675,5.830263694172627,0.9136499284838397
0.17615367117251082,5.830263694172627,0.9136499284838397
0.7049813407816848,5.830263694172627,0.9136499284838397
0.4630319253405331,5.830263694172627,0.9136499284838397
1.7148143908515439,5.830263694172627,0.9136499284838397
0.08356392053474518,5.830263694172627,0.9136499284838397
0.38995918984847505,5.830263694172627,0.9136499284838397
0.2593641755838819,5.830263694172627,0.9136499284838397
1.6961876828654687,5.830263694172627,0.9136499284838397
0.8150478915018351,5.830263694172627,0.9136499284838397
0.1970246360250934,5.830263694172627,0.9136499284838397
2.7327511742508666,5.830263694172627,0.9136499284838397
20.64204384642074,5.830263694172627,0.9136499284838397
0.7041516012074982,5.830263694172627,0.9136499284838397
0.805283512462681,5.830263694172627,0.9136499284838397
0.16350355912772688,5.830263694172627,0.9136499284838397
